hour,temp,base temp,base temp 2,difference,CDD,kWh,Tc,Th,,,
0,14,24,18.5,4.5,0.1875,450.137328,14,0,,,1950.595088
1,15,24,18.5,3.5,0.145833333,350.1068107,15,0,,,8202.502422
2,14,24,18.5,4.5,0.1875,450.137328,14,0,,,
3,13,24,18.5,5.5,0.229166667,550.1678454,13,0,,,
4,17,24,18.5,1.5,0.0625,150.045776,17,0,,,
5,18.5,24,18.5,0,0,0,0,0,,,
6,24,24,18.5,0,0,0,0,0,,,
7,25,24,18.5,1,0.041666667,100.0305173,0,25,,,
8,27,24,18.5,3,0.125,300.091552,0,27,,,
9,30,24,18.5,6,0.25,600.183104,0,30,,,
10,32,24,18.5,8,0.333333333,800.2441387,0,32,,,
11,32,24,18.5,8,0.333333333,800.2441387,0,32,,,
12,32,24,18.5,8,0.333333333,800.2441387,0,32,,,
13,32,24,18.5,8,0.333333333,800.2441387,0,32,,,
14,32,24,18.5,8,0.333333333,800.2441387,0,32,,,
15,33,24,18.5,9,0.375,900.2746561,0,33,,,
16,32,24,18.5,8,0.333333333,800.2441387,0,32,,,
17,31,24,18.5,7,0.291666667,700.2136214,0,31,,,
18,29,24,18.5,5,0.208333333,500.1525867,0,29,,,
19,26,24,18.5,2,0.083333333,200.0610347,0,26,,,
20,25,24,18.5,1,0.041666667,100.0305173,0,25,,,
21,24,24,18.5,0,0,0,0,0,,,
22,22,24,18.5,0,0,0,0,0,,,
23,21,24,18.5,0,0,0,0,0,,,
